年,週,腸病毒健保就診人次,健保就診總人次,就診類別_年齡層_住院_0-2,就診類別_年齡層_住院_10-14,就診類別_年齡層_住院_15+,就診類別_年齡層_住院_3-4,就診類別_年齡層_住院_5-9,就診類別_年齡層_門診_0-2,就診類別_年齡層_門診_10-14,就診類別_年齡層_門診_15+,就診類別_年齡層_門診_3-4,就診類別_年齡層_門診_5-9,腸病毒急診就診人次,年齡別_0,年齡別_1-3,年齡別_16+,年齡別_4-6,年齡別_7-15,腸病毒總人數,區累積雨量,區平均雨量,區雨量標準差,區雨量最大值,區雨量最小值,區雨量全距,日溫度標準差,日最高溫度,日最低溫度,日溫差,週溫度標準差,區週平均溫度,區週均溫1-5,區週均溫6-9,區週均溫10-13,區週均溫14-17,區週均溫18-24,區週溫度標準差,平均RH,平均風速,最大風速,腸病毒總人數_moving_avg,爆發預測,DT
2016,29,3452,927855,27,2,2,18,7,1147,172,147,978,952,171.0,24.0,99.0,9.0,22.0,17.0,3623.0,344.8,14.366666666666667,30.901901822248483,119.8,0.0,119.8,2.541388004411423,36.0,22.0,12.0,2.3653883297599623,29.531385281385283,27.06753246753247,27.831168831168828,32.20779220779221,32.60064935064936,28.97959183673469,2.3498643730722724,70.6715367965368,2.0395562770562767,6.6,5534.0,1.0,2016-07-24
2016,30,2968,908455,36,0,0,16,8,972,147,116,837,836,134.0,22.0,76.0,3.0,26.0,7.0,3102.0,173.6,7.2333333333333325,13.980068627892349,52.2,0.0,52.2,2.571727756716185,37.0,23.0,12.0,2.4583749274807416,30.31051587301588,27.66969696969697,28.471320346320358,33.13419913419913,33.38798701298701,29.875695732838587,2.445997290795296,69.58813577504367,2.100950748082328,6.4,5069.0,1.0,2016-07-31
2016,31,2542,944651,27,0,0,12,7,886,132,119,714,645,121.0,15.0,75.0,4.0,22.0,5.0,2663.0,518.6,21.60833333333333,39.27492746697608,136.8,0.0,136.8,2.2049287464925973,36.0,23.0,10.0,2.0117488629888447,29.56980519480519,27.56363636363637,28.20454545454545,32.3474025974026,31.6461038961039,29.009276437847863,1.999142983349164,75.0849567099567,1.8677489177489173,7.3,4535.571428571428,0.0,2016-08-07
2016,32,2260,929860,18,0,2,9,5,814,89,108,712,503,117.0,22.0,61.0,4.0,22.0,8.0,2377.0,741.8000000000003,30.90833333333333,24.28948451431225,86.4,0.6000000000000001,85.80000000000003,1.8927901177629929,35.0,23.0,11.0,1.5794025553153126,28.722492784992784,27.2064935064935,27.48971861471861,30.665043290043286,30.67207792207793,28.285714285714285,1.565242154761595,78.97337320574162,1.7768963886990203,6.2,3911.1428571428573,0.0,2016-08-14
2016,33,2170,933615,18,0,0,16,3,731,93,128,676,505,120.0,12.0,79.0,4.0,17.0,8.0,2290.0,888.2,37.00833333333333,70.54960583913967,218.4,0.0,218.4,2.4217331721819675,35.0,21.0,12.0,2.2407529779069737,28.504779942279946,26.45194805194805,27.341991341991342,31.634740259740266,30.941558441558442,27.45454545454545,2.2199288666179133,78.10920986177565,1.7520043195108987,5.3,3351.4285714285716,0.0,2016-08-21
2016,34,2085,970150,21,0,0,12,2,699,84,114,704,449,108.0,15.0,64.0,3.0,20.0,6.0,2193.0,123.0,5.125,10.841436211611207,47.2,0.0,47.2,1.9764268721556224,35.0,25.0,10.0,1.807137704088799,30.001262626262626,28.225108225108233,28.58712121212121,32.13041125541126,32.28463203463204,29.556586270871982,1.785772964907672,74.59161777549936,2.0666502137817933,6.6,2919.5714285714284,0.0,2016-08-28
2016,35,2086,978466,15,1,1,9,6,724,78,124,660,468,99.0,12.0,55.0,4.0,20.0,8.0,2185.0,237.2,9.883333333333333,12.449399030952618,50.6,0.0,50.6,1.867874884497828,34.0,22.0,11.0,1.6817235597473656,28.316558441558442,26.532467532467532,27.051948051948052,30.016233766233764,30.63961038961039,28.014842300556587,1.67081149652714,73.47240259740259,2.000919913419913,7.2,2633.285714285714,0.0,2016-09-04
2016,36,2173,953899,27,1,0,10,3,756,71,143,677,485,90.0,16.0,53.0,1.0,12.0,8.0,2263.0,512.8,21.366666666666664,31.64348503132258,105.0,0.0,105.0,1.8872957702050823,34.0,23.0,9.0,1.6896922853563483,27.799783549783548,26.207792207792203,27.009740259740266,30.32142857142857,29.43181818181818,27.014842300556587,1.6647926036783836,79.69963260423788,2.078841991341991,7.6,2439.0,0.0,2016-09-11
2016,37,2330,891979,16,2,0,10,3,819,73,104,779,524,132.0,14.0,93.0,7.0,12.0,6.0,2462.0,572.4000000000002,23.850000000000005,21.980564537593303,76.39999999999998,0.4,75.99999999999999,1.9168143333307148,36.0,21.0,11.0,1.6299612437288744,27.936688311688318,26.350649350649363,26.51948051948052,29.22727272727273,30.392857142857146,27.738404452690173,1.6103045117858987,77.81006493506493,2.197943722943723,11.0,2347.5714285714284,0.0,2016-09-18
2016,38,2804,1053715,51,0,3,7,5,980,147,159,826,626,154.0,26.0,95.0,4.0,20.0,9.0,2958.0,0.8,0.03333333333333333,0.1274044114541212,0.6,0.0,0.6,2.3811640718568494,34.0,22.0,9.0,2.3334416671865954,27.89466089466089,25.57922077922079,26.168831168831172,30.58874458874459,30.938311688311693,27.25602968460111,2.3121819482894583,72.19587320574162,2.357497436773752,8.6,2389.714285714286,0.0,2016-09-25
2016,39,2692,878206,39,0,0,13,5,1004,133,132,757,609,137.0,21.0,81.0,3.0,16.0,16.0,2829.0,1232.6,51.35833333333333,35.557961459965696,142.8,17.8,125.0,1.823329461055769,38.0,15.0,18.0,1.6159529691322032,27.808125901875897,26.22372294372294,26.51287878787879,29.683549783549786,29.82840909090909,27.453865182436605,1.5859330780256025,79.9580594022692,2.887769374748652,25.0,2454.285714285714,0.0,2016-10-02
2016,40,2712,1028786,39,0,0,16,4,1005,151,135,785,577,126.0,14.0,78.0,9.0,18.0,7.0,2838.0,206.6,8.608333333333333,7.632306430514655,25.8,0.0,25.8,1.7372899422754795,38.0,22.0,11.0,1.5640821429453902,27.42451298701298,25.994805194805192,26.20725108225109,29.281385281385283,29.425324675324674,26.936920222634505,1.5485419352530319,77.9261438634465,1.929008452065803,8.7,2532.5714285714284,0.0,2016-10-09
2016,41,2896,991300,52,0,0,15,8,1029,165,147,846,634,165.0,23.0,95.0,6.0,24.0,17.0,3061.0,24.4,1.0166666666666668,2.019829236576087,6.4,0.0,6.4,2.2722979599843294,34.0,21.0,11.0,2.2033150976657647,26.63483044733045,24.315584415584418,24.86309523809524,29.15205627705628,29.466450216450216,26.247371675943107,2.190199191745817,75.84634332042226,2.534865573023468,9.1,2656.5714285714284,0.0,2016-10-16
2016,42,3477,1015687,46,1,1,14,6,1310,159,141,1062,737,190.0,29.0,110.0,6.0,36.0,9.0,3667.0,60.2,2.5083333333333333,7.194678991942687,31.4,0.0,31.4,2.215240742931689,35.0,21.0,12.0,2.112970841756358,28.619588744588746,26.615151515151513,26.841450216450216,31.035714285714285,31.412337662337666,28.09090909090909,2.100704949735645,74.17164359763044,1.7126836978810662,7.5,2868.285714285714,0.0,2016-10-23
2016,43,3931,1020685,53,0,0,28,4,1461,168,165,1215,837,208.0,25.0,126.0,5.0,39.0,13.0,4139.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150291578176255,33.0,21.0,9.0,2.0717510821640626,27.33234126984127,25.57142857142857,25.812229437229448,29.961038961038962,29.93181818181819,26.47124304267161,2.048392660682404,74.71736870585555,2.0266903053087257,9.9,3136.285714285714,1.0,2016-10-30
2016,44,4110,1045605,65,1,0,19,15,1548,168,164,1224,906,196.0,22.0,124.0,7.0,32.0,11.0,4306.0,0.0,0.0,0.0,0.0,0.0,0.0,2.322599755481624,31.0,18.0,11.0,2.260252991057607,24.01017316017316,21.835584415584417,22.187012987012988,26.72240259740261,26.924783549783548,23.38991960420532,2.2486899180220026,69.63916752107541,2.557254727728412,10.0,3399.714285714286,1.0,2016-11-06
2016,45,3600,1015918,56,0,1,18,7,1326,171,207,1078,736,191.0,33.0,114.0,6.0,26.0,12.0,3791.0,30.4,1.2666666666666666,2.605456926740768,9.6,0.0,9.6,2.1537032631267143,31.0,18.0,10.0,1.9556352122185023,23.53517316017316,21.784415584415584,21.863636363636363,25.782467532467532,26.162337662337666,22.95547309833024,1.9435558095969048,74.0871212121212,2.2810606060606062,9.8,3518.714285714286,1.0,2016-11-13
2016,46,3435,1015513,50,1,3,12,11,1216,152,206,1036,748,164.0,19.0,86.0,6.0,43.0,10.0,3599.0,9.2,0.3833333333333333,1.0007243753213566,4.4,0.0,4.4,2.541098056306394,32.0,18.0,13.0,2.4644431672507703,25.02705627705628,22.724675324675328,22.799783549783548,27.924242424242426,28.13636363636364,24.512059369202234,2.44131164380124,75.70539986329459,1.7860400148097515,8.6,3628.714285714286,1.0,2016-11-20
2016,47,4062,973938,50,1,0,25,14,1446,179,169,1243,935,204.0,20.0,131.0,4.0,38.0,11.0,4266.0,728.5999999999997,30.35833333333333,21.91612304389995,82.6,2.8,79.8,1.425267508271434,28.0,17.0,9.0,0.9857501010262038,22.119137806637806,21.446753246753246,21.347943722943725,23.23701298701299,23.461038961038962,21.634508348794064,0.9756218975164554,81.32777255639098,2.6437997930432138,9.4,3832.714285714286,1.0,2016-11-27
